Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",7.750000,15.750000,-90.000000,top
"C2","0.1uF","C_0402_1005Metric",9.520000,17.750000,0.000000,top
"C3","0.1uF","C_0402_1005Metric",18.750000,15.742500,-90.000000,top
"C4","0.1uF","C_0402_1005Metric",20.520000,17.762500,0.000000,top
"C5","12pF","C_0402_1005Metric",16.600000,30.050000,-90.000000,top
"C6","12pF","C_0402_1005Metric",11.350000,30.050000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",10.150000,30.050000,90.000000,top
"C8","0.1uF","C_0402_1005Metric",19.950000,30.000000,-90.000000,top
"D1","Yellow LED","LED_0402_1005Metric",13.250000,7.450000,180.000000,top
"R1","10k","R_0402_1005Metric",17.770000,30.030000,90.000000,top
"R2","10k","R_0402_1005Metric",18.950000,30.020000,90.000000,top
"R3","10k","R_0402_1005Metric",9.210000,30.050000,90.000000,top
"R4","10k","R_0402_1005Metric",15.750000,7.450000,180.000000,top
"R5","10k","R_0402_1005Metric",18.250000,7.450000,180.000000,top
"R6","1k","R_0402_1005Metric",10.750000,7.450000,180.000000,top
"U1","BMP388","BMP388",9.500000,16.000000,0.000000,top
"U2","BMP388","BMP388",20.500000,16.012500,0.000000,top
"U3","CH32V305GBU6","QFN-28-1EP_4x4mm_P0.4mm_EP2.8x2.8mm",16.962500,25.300000,0.000000,top
"Y1","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",13.970000,30.070000,180.000000,top
